filename,x,y,mean_brightness,median_brightness,std_brightness,min_brightness,max_brightness,valid_ratio,valid_mean,valid_median,valid_std,is_valid,region_type
0000_0994_1003.png,994,1003,79.70104598958333,30.0,79.25217320308067,4,248,0.49664572916666666,142.2359283077999,191.0,69.28162994248844,True,normal
0000_0994_1004.png,994,1004,79.7448113671875,30.0,79.47287680265732,4,247,0.49630727864583335,142.27527516437218,191.0,69.87418389485984,True,normal
0000_0994_1005.png,994,1005,69.82165274739583,33.0,74.45955576375769,3,248,0.5182419401041667,120.41106841060024,95.0,72.9789523414563,True,half_bg
0000_0995_0994.png,995,994,78.79636141927084,38.0,79.06721723452299,4,253,0.5486768359375,128.93444002986257,126.0,75.8421046167383,True,half_bg
0000_0995_0995.png,995,995,84.0229706640625,31.0,83.18657040516264,5,238,0.5108715104166667,146.47581542896518,200.0,74.11218085513713,True,normal
0000_0995_0996.png,995,996,81.48688354166667,31.0,81.25994040548713,5,229,0.5008796744791667,144.57025256008575,196.0,71.62360517046591,True,normal
0000_0995_0997.png,995,997,78.82321484375,30.0,78.85887098315374,5,227,0.49025196614583333,142.30985453881854,190.0,68.54422549579982,True,normal
0000_0995_0998.png,995,998,78.39463907552083,29.0,78.81614874492303,5,232,0.4859640234375,142.7428723678721,190.0,68.20035361876538,True,normal
0000_0995_0999.png,995,999,78.33439822916667,29.0,77.73259836285548,5,227,0.4905490364583333,141.3843785685926,187.0,66.6480499363805,True,normal
0000_0995_1000.png,995,1000,77.02109686197916,29.0,76.02781180702615,5,224,0.49008341145833334,138.89254002945822,182.0,64.92357918121023,True,normal
0000_0995_1001.png,995,1001,78.78980001302084,30.0,77.76667354134953,5,255,0.49353309895833336,141.40869535989728,187.0,66.62996164673042,True,normal
0000_0995_1002.png,995,1002,78.050172578125,30.0,77.26641299819886,4,254,0.4926136328125,140.13137366492245,185.0,66.69387905683875,True,normal
0000_0995_1003.png,995,1003,79.28495813802083,30.0,78.59907874110701,5,255,0.49670328125,141.40924161631122,189.0,68.49800731337231,True,normal
0000_0995_1004.png,995,1004,80.76705266927084,31.0,79.77085387387848,4,253,0.5018163932291667,142.8421030330467,191.0,69.76846703348039,True,normal
0000_0995_1005.png,995,1005,79.744860703125,38.0,78.51800685131224,4,255,0.5529682161458334,130.59917021206505,182.0,72.82185769726198,True,half_bg
0000_0996_0994.png,996,994,77.76748203125,37.0,78.9067551952702,4,247,0.5523282421875,126.29332084736278,110.0,77.08527092327384,True,half_bg
0000_0996_0995.png,996,995,83.54702390625,31.0,83.18563352684562,5,237,0.5093537890625,145.87962256915043,199.0,74.75204280611155,True,normal
0000_0996_0996.png,996,996,81.2046146875,30.0,81.03713530813802,5,228,0.4989990494791667,144.4332650621125,196.0,71.41844672115106,True,normal
0000_0996_0997.png,996,997,78.62469473958333,29.0,78.89336753253072,4,223,0.4883611197916667,142.37080857227247,190.0,68.72850130525865,True,normal
0000_0996_0998.png,996,998,78.57793759114584,29.0,78.52402373920624,5,233,0.4893525,142.16821947326653,189.0,67.87317173665592,True,normal
0000_0996_0999.png,996,999,78.02552147135417,29.0,77.17563920542851,4,230,0.49180084635416665,140.44050359137952,185.0,66.13113912811319,True,normal
0000_0996_1000.png,996,1000,77.27730602864584,29.0,76.10452593359608,5,223,0.49193186197916666,138.89754334572768,183.0,65.02784651751587,True,normal
0000_0996_1001.png,996,1001,78.66176479166667,30.0,77.58680236660813,5,229,0.4937100390625,141.12173588099733,186.0,66.44868844357603,True,normal
0000_0996_1002.png,996,1002,78.04919294270833,30.0,76.98947640209659,4,245,0.494103671875,139.75139326624742,184.0,66.31031304331081,True,normal
0000_0996_1003.png,996,1003,79.44396856770834,30.0,78.42903661932816,5,254,0.4993881901041667,140.99327919816886,189.0,68.36415256406066,True,normal
0000_0996_1004.png,996,1004,81.1993485546875,31.0,79.69532832731159,4,255,0.5058058203125,142.57971486144723,191.0,69.68613463391027,True,normal
0000_0996_1005.png,996,1005,82.81460196614583,38.0,80.7629146409789,4,255,0.544829453125,137.38564086687867,189.0,73.22432605137416,True,half_bg
0000_0997_0994.png,997,994,76.84120971354167,35.0,78.6696936661785,4,243,0.5498349088541666,124.85549083258206,108.0,77.86260596483123,True,half_bg
0000_0997_0995.png,997,995,84.05499830729167,31.0,84.03502085024304,5,238,0.5093678255208334,147.00958438857356,201.0,75.53942465717451,True,normal
0000_0997_0996.png,997,996,81.14076774739583,30.0,81.26075410738036,5,229,0.4970032682291667,144.99612400897243,196.0,71.41239137666959,True,normal
0000_0997_0997.png,997,997,78.68532403645834,29.0,79.15925950228066,5,226,0.4860740625,143.03758849870914,191.0,68.95410493529225,True,normal
0000_0997_0998.png,997,998,78.61377700520833,29.0,78.8020630070563,5,223,0.4875378645833333,142.61848166280248,190.0,68.32263185499158,True,normal
0000_0997_0999.png,997,999,77.3800280859375,29.0,76.78278624155196,5,221,0.48955734375,139.6401937985857,185.0,66.15413872628183,True,normal
